Tempo	DP1	DP2	DP3	DP4	DP5
5,82	-1,42708819	-1,9675722	1,469695	-2,647366	0,78032666
5,84	-1,62719656	-2,3122563	-1,6611862	-3,4324799	2,2165108
5,86	-1,34283204	-1,383524	2,3505547	-2,0058703	5,692076
5,88	-1,41655624	-0,77075213	9,2825365	-2,714388	4,8303657
5,9	-0,32122651	-2,4175766	0,014361841	-1,8718265	-0,7324539
5,92	0,858359326	-2,8963046	-4,916537	-0,20585304	-4,08355
5,94	0,8267633	-2,168638	-3,2218397	2,6760898	-2,7909844
5,96	0,95314747	-2,1782124	-1,0101161	2,752686	0,7994758
5,98	0,679315043	-2,321831	-1,2207564	-0,37819514	4,8590894
6	0,226438344	-1,4984187	-1,7569319	-4,2271686	8,851681
6,02	0,34229052	-1,8239537	-3,193116	-2,0250196	8,181462
6,04	0,595058904	-2,494173	-1,3930986	2,733537	2,561195
6,06	1,20591581	-1,8814012	-0,70373017	3,8633351	-1,2399056
6,08	1,99581712	-1,5558661	-2,2069361	-2,5420458	0,8281995
6,1	2,575078	-1,4888442	-2,9250283	-3,5665238	8,957002
6,12	2,4065657	0,3877697	-1,2973529	-2,9824755	11,972988
6,14	1,32176803	-0,5792609	-0,05266008	-2,4654493	1,5271424
6,16	-0,194842307	-2,9920502	-0,110107444	-0,46436617	-5,9697385
6,18	-1,05846763	-2,819708	-0,78990126	0,85692316	-5,309094
6,2	-0,100054163	-1,3452257	-1,6133134	-1,9675722	2,3984275
6,22	1,34283204	-1,6707608	-2,2069361	-3,7867386	3,8824842
6,24	2,01688113	-3,4324799	-2,1303396	-2,4654493	-1,1345854
6,26	1,15325573	-3,4229054	-2,0824668	0,12925656	-2,580344
6,28	-0,384418595	-2,427151	-1,8814012	1,622888	-2,034594
6,3	-0,75303921	-1,6133134	-1,9867213	0,40691882	1,2590547
6,32	0,279098446	-1,3739494	-2,360129	-1,8431029	2,733537
6,34	3,90211217	-1,1154363	-1,6707608	-2,0633178	1,7665064
6,36	0,60559092	-1,0484143	-0,751603	-1,1250108	-0,71330476
6,38	-2,7225264	-2,6282167	-1,1154363	0,10053288	-1,8143792
6,4	2,34337356	-5,2516465	-1,9867213	0,85692316	-0,77075213
6,42	3,28072305	-5,912291	-2,0058703	-1,3260766	0,61755913
6,44	-1,19538386	-2,9250283	-0,91437054	-3,1452432	0,90479594
6,46	-0,300162478	0,22500217	-0,2441513	-2,580344	0,47394073
6,48	0,868891386	2,321831	-0,15798025	-0,18670394	-0,10053288
6,5	0,34229052	0,6750065	-0,3111732	0,92394507	-0,2441513
6,52	-1,67985664	-3,0686467	-1,9388485	-0,00478728	1,0005416
6,54	-0,74250715	-5,7303743	-1,8718265	-1,2973529	0,6271337
6,56	1,13219183	-5,376116	0,71330476	-1,2973529	-0,19627848
6,58	1,71145271	-0,91437054	3,5952475	-1,1058618	0,09095833
6,6	1,80624092	3,231414	2,360129	-0,33032233	0,7420284
6,62	0,710911135	1,5462915	-3,0016246	-1,4313968	0,59841
6,64	-0,226438344	-2,6760898	-6,668681	-2,6760898	0,0718092
6,66	1,85890089	-1,4792696	-5,6250544	-0,8473486	-0,39734426
6,68	1,72198477	1,14416	-7,2623043	1,622888	-0,33032233
6,7	1,258576	2,5516202	-5,5101595	0,85692316	0,09095833
6,72	1,86943295	-0,11968201	-1,4888442	-1,6899099	0,062234644
